Row Labels,Sum of Clciks,,
DC47E82C-F003-4748-B5B6-C593109EA24F,2,2,TRUE
C6017B85-F033-48C1-85AD-1E6D81ABFB0B,2,2,TRUE
C8ED6809-9A9E-4F60-B991-A718A9D0ADEA,2,2,TRUE
CEC3319A-C197-4FD4-92AD-0DAD9A91D2BA,2,2,TRUE
DE71588F-22E9-400C-961A-B2BFBAB65222,2,2,TRUE
CEDAD743-0CB3-4B96-9F4C-935520D3FF48,2,2,TRUE
C242D8DC-059D-4333-AA0F-5466AAC12BC0,2,2,TRUE
CF0167A0-FA40-4791-B67F-601F27F09EFC,2,2,TRUE
D4F9ADB8-0DF9-4AE2-AF2B-7C67A83AE333,2,2,TRUE
C613E160-F247-40A9-AFA3-BD60B8AF8E67,2,2,TRUE
D60B242E-555C-4567-B29A-E817EBC4DC55,2,2,TRUE
E0F3B590-0ACC-42DC-B343-3E7DD4006CB1,2,2,TRUE
D61EE1AD-BF7B-4D30-8779-E2FBED18568A,2,2,TRUE
E2387607-88B5-479B-A9B1-4098D411CBD4,2,2,TRUE
D7F8D18C-334E-4A77-A612-A50F4BFDB26D,2,2,TRUE
C28477AA-A6B3-4E53-B7D5-01512028313B,2,2,TRUE
D9A3C65F-1B67-4B1E-A6EA-1EA31CFFB042,2,2,TRUE
D07F56F6-8810-4F70-BBF7-6D58E0042C7D,2,2,TRUE
DB5017DC-896F-426D-8E95-B2441E6D6990,2,2,TRUE
D0E6516B-5580-47DC-8113-489A854AA049,2,2,TRUE
DBA0C216-10C9-446D-883D-720A4EE09E44,2,2,TRUE
D1387496-F395-4777-80D2-C457C28ABADD,2,2,TRUE
C2D6E124-84C8-4B5F-9B8F-63BCDE287DF1,2,2,TRUE
C74F2ECE-F010-41C7-9EE0-7C3080283F4B,2,2,TRUE
DC43226F-C1A7-4169-BAA9-CCE9862C6736,2,2,TRUE
D19490AF-AAEC-48F1-AE9C-2448D4BEB6D1,2,2,TRUE
